Date,Water Temp
6/1/2012,14.55484444
6/2/2012,14.333172074476234
6/3/2012,14.121085653839168
6/4/2012,13.918585178088795
6/5/2012,13.725670647225117
6/6/2012,13.542342061248139
6/7/2012,13.368599420157857
6/8/2012,13.20444272395427
6/9/2012,13.04987197263738
6/10/2012,12.904887166207184
6/11/2012,12.769488304663692
6/12/2012,12.64367538800689
6/13/2012,12.527448416236782
6/14/2012,12.420807389353376
6/15/2012,12.323752307356665
6/16/2012,12.23628317024665
6/17/2012,12.15839997802333
6/18/2012,12.090102730686707
6/19/2012,12.031391428236786
6/20/2012,11.982266070673555
6/21/2012,11.94272665799702
6/22/2012,11.912773190207187
6/23/2012,11.892405667304045
6/24/2012,11.881624089287602
6/25/2012,11.880428456157853
6/26/2012,11.888818767914804
6/27/2012,11.90679502455845
6/28/2012,11.934357226088792
6/29/2012,11.971505372505833
6/30/2012,12.018239463809568
7/1/2012,12.0745595
7/2/2012,12.140465481077129
7/3/2012,12.215957407040953
7/4/2012,12.301035277891476
7/5/2012,12.395699093628693
7/6/2012,12.499948854252606
7/7/2012,12.613784559763218
7/8/2012,12.737206210160526
7/9/2012,12.870213805444529
7/10/2012,13.012807345615226
7/11/2012,13.164986830672625
7/12/2012,13.326752260616717
7/13/2012,13.498103635447507
7/14/2012,13.679040955164993
7/15/2012,13.869564219769178
7/16/2012,14.069673429260055
7/17/2012,14.276502763267487
7/18/2012,14.472857299570638
7/19/2012,14.65587121779936
7/20/2012,14.825544517953656
7/21/2012,14.981877200033528
7/22/2012,15.124869264038974
7/23/2012,15.254520709969992
7/24/2012,15.370831537826588
7/25/2012,15.473801747608755
7/26/2012,15.563431339316494
7/27/2012,15.63972031294981
7/28/2012,15.7026686685087
7/29/2012,15.752276405993165
7/30/2012,15.788543525403202
7/31/2012,15.811470026738812
8/1/2012,15.82105591
8/2/2012,15.817301175186756
8/3/2012,15.80020582229909
8/4/2012,15.769769851336996
8/5/2012,15.725993262300479
8/6/2012,15.66887605518953
8/7/2012,15.59841823000416
8/8/2012,15.514619786744367
8/9/2012,15.417480725410146
8/10/2012,15.307001046001494
8/11/2012,15.183180748518419
8/12/2012,15.04601983296092
8/13/2012,14.895518299328995
8/14/2012,14.731676147622641
8/15/2012,14.554493377841862
8/16/2012,14.363969989986659
8/17/2012,14.16183001625663
8/18/2012,13.958417649849398
8/19/2012,13.755456922964564
8/20/2012,13.552947835602131
8/21/2012,13.350890387762096
8/22/2012,13.149284579444455
8/23/2012,12.948130410649217
8/24/2012,12.747427881376378
8/25/2012,12.547176991625932
8/26/2012,12.347377741397889
8/27/2012,12.148030130692245
8/28/2012,11.949134159508997
8/29/2012,11.750689827848152
8/30/2012,11.552697135709703
8/31/2012,11.355156083093652
9/1/2012,11.15806667
9/2/2012,10.961428896428746
9/3/2012,10.765242762379891
9/4/2012,10.569508267853433
9/5/2012,10.374225412849375
9/6/2012,10.179394197367719
9/7/2012,9.985014621408455
9/8/2012,9.791086684971594
9/9/2012,9.597610388057133
9/10/2012,9.404585730665067
9/11/2012,9.212012712795401
9/12/2012,9.019891334448133
9/13/2012,8.828221595623264
9/14/2012,8.637003496320792
9/15/2012,8.44623703654072
9/16/2012,8.255922216283047
9/17/2012,8.067594701547302
9/18/2012,7.882790158333016
9/19/2012,7.7015085866401884
9/20/2012,7.523749986468817
9/21/2012,7.349514357818905
9/22/2012,7.178801700690452
9/23/2012,7.011612015083458
9/24/2012,6.847945300997921
9/25/2012,6.687801558433843
9/26/2012,6.531180787391223
9/27/2012,6.378082987870061
9/28/2012,6.228508159870358
9/29/2012,6.082456303392114
9/30/2012,5.939927418435327
10/1/2012,5.800921505
10/2/2012,5.66543856308613
10/3/2012,5.533478592693717
10/4/2012,5.405041593822765
10/5/2012,5.2801275664732685
10/6/2012,5.158736510645232
10/7/2012,5.040868426338655
10/8/2012,4.926523313553536
10/9/2012,4.815701172289874
10/10/2012,4.70840200254767
10/11/2012,4.604625804326926
10/12/2012,4.50437257762764
10/13/2012,4.407642322449812
10/14/2012,4.314435038793442
10/15/2012,4.224750726658531
